Assunto,Tipo de pedido,Detalhamento
"Reforma do CEIM Benedito Ferreira Lopes, situado na Rua Professora Alice Thereza Cotrim Guerreiro da Silva",SERVIÇO,Manutenção Unidade Escolar - SME
"Execução de obras e serviços de drenagem e escoamento da água pluvial, que alagou a Estrada Municipal do Lambari",SERVIÇO,Manutenção Drenagem - SMSUZ
"Cascalhamento e nivelamento da Rua 05, Bairro – Parque São Martinho.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
Empréstimo do campo de futebol - Centro Esportivo de Jundiapeba,EVENTO,Serviços Evento - SMEL
"Limpeza e roçada da Rua Joaquim Fernandes Bonilha, Bairro – Alto da Boa Vista.",SERVIÇO,Limpeza Pública - SMSUZ
"Rondas ostensivas preventivas da GCM nas imediações da nova UBS, situada na Rua Frei Bonifácio Harink, número 313, Bairro – Vila São Paulo, Botujuru.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"Revitalização da praça situada nas Ruas João Negrão, Rua Pedroso e Rua Expedicionário Francisco Antônio de Oliveira, Bairro – Jardim Esperança.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicitando a limpeza da boca de lobo situada na Rua Constellation, altura do número 396, Bairro – Jardim Aeroporto III.",SERVIÇO,Manutenção Drenagem - SMSUZ
"troca da tampa da boca de lobo situada na Rua Constellation, altura do número 389, Bairro – Jardim Aeroporto III.",SERVIÇO,Manutenção Drenagem - SMSUZ
"limpeza do terreno situado à Rua José Juca Assi, Bairro – Jardim Planalto.",VISTORIA,Manutenção em Terreno particular - SMSEG
"poda de árvore, situada na Rua Alameda Santo Ângelo, atrás do condomínio El Shaday - Jundiapeba.",SERVIÇO,Poda de Árvore - SMAPA
"manutenção da via Avenida Santa Catarina, Bairro Chácara Guanabara, que se encontra alagada.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Tapa buraco na Rua Paulo Roberto Rodrigues Nahum, em frente ao número 365, Bairro – Mogi Moderno.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"transferência do menor N. M. B., inscrição 118596, nascido em 15/08/2018, para a Escola Municipal Professora Guiomar Pinheiro Franco.",ATENDIMENTO,Transferência de Escola - SME
"nivelamento e cascalhamento por toda a extensão da Rua Christovam Colombo, altura do número 382, Bairro – Vila São Paulo, Botujuru.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"cascalhamento e nivelamento ao longo da Estrada Jinichi Shigeno, Bairro – Vila Caputera.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"poda de duas árvores que estão localizadas na Rua José Candido, altura do número 165, Bairro – Parque Olímpico.",SERVIÇO,Poda de Árvore - SMAPA
"Solicitando a limpeza e roçagem por toda a extensão da Estrada Fugitaro Nagão, Bairro – Cocuera.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando implantação de faixa amarela na Rua Capitão Benedito Pedro dos Santos, número 21, Bairro – Jardim Camila.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicitando os serviços de nivelamento, cascalhamento e roçagem, por toda a extensão da Estrada dos Pintos, Bairro – Taiaçupeba.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
limpeza do Córrego Rio Negro nas imediações do Bairro Vila Natal.,SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o reforço do policiamento na Avenida Ricieri José Marcatto, entre a Avenida Jackes Jones e a Rua Ewald Muhleise, Bairro – Cezar de Souza.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicitando os reparos de pista, devido a um afundamento na Rua José Ruiz Martins, número 474, Bairro – Jardim Aracy.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Serviços de roçagem e zeladoria na Rua Juraci do Nascimento, altura do número 42, travessa com a Rua Miguel dos Santos, Bairro – Varinhas.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando obras, serviços de manutenção e cascalhamento na Rua Concórdia, Bairro - Botujuru.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando o serviço de roçagem das laterais da Rodovia Pedro Eroles, Mogi – Dutra SP-88, a fim de evitar a falta de visibilidade das placas de sinalização.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a limpeza e recolhimento de lixo na Estrada do Parateí, número 2511, Bairro – Taboão.",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
"solicitando o nivelamento e cascalhamento por toda a extensão da Estrada da gruta Santa Terezinha, Bairro – Jardim Aracy.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"Solicitando a limpeza e roçagem na Estrada Professor Walter Ferraz, Bairro – Vila Moraes.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o serviço de tapa buraco na Rua Carlos Gomes, em frente ao número 707, Bairro – Mogi Moderno.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando o serviço de tapa buraco na Avenida João XXIII, próximo aos números 2706, 2740, 2201 e 2268, Bairro – Cezar de Souza.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Fechamento parcial e sinalização no dia 25/01/2024 da Rua José Heleno, nº 80, Bairro – Pq Olímpico, para realização da Festa do Padroeiro de São Paulo Apóstolo",EVENTO,Fechamento de rua
Solicitando o nivelamento e cascalhamento na Estrada da Moralogia.,SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando notificar o proprietário do terreno situado na Rua Morumbi, ao lado do nº 164, Bairro – Brás Cubas, para providenciar a roçagem e limpeza do local.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o nivelamento e cascalhamento da Rua Cinco, Bairro – Parque São Martinho.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"nivelamento e cascalhamento da Rua Padre Albino Bareta, Bairro – Jundiapeba.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a limpeza da calçada e remoção de entulho na Avenida Florêncio de Paiva, número 200, Bairro – Jardim Modelo.",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
"solicitando notificar o proprietário do terreno situado na Rua Iracema Brasil de Siqueira, número 163, Bairro – Vila Oliveira, para que promova a poda do mato.",VISTORIA,Manutenção em Terreno particular - SMSEG
"tapa buraco na Rua Desidério Jorge, altura do número 620, Bairro – Vila Natal.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a manutenção da iluminação pública na Avenida Lourenço de Souza Franco, altura do número 2377, Bairro – Jundiapeba.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicitando a realização de reparos urgentes na calçada da Avenida João XXIII, nas proximidades do SESC.",SERVIÇO,Manutenção Guias/Sarjetas - SMSUZ
"solicitando o serviço de tapa buraco por toda extensão da Rua João de Miranda Melo, Bairro – Mogi Moderno.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a manutenção de iluminação pública na Rua dos Vicentinos, altura do número 891, Bairro – Vila Natal.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"Solicitando a roçagem e limpeza do terreno situado na Rua Guaratinga, altura do número 410, Bairro – Jardim Piatã.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o serviço de tapa buraco, por toda a extensão da Avenida Engenheiro Miguel Gemma, próximo ao Bairro – Conjunto Toyama.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a limpeza e roçagem por toda a extensão das calçadas situada na Estrada Fujitaro Nagão, Bairro – Cocuera.",SERVIÇO,Limpeza Pública - SMSUZ
"solicito o fechamento parcial e sinalização, no dia 25/01/2025 da Rua José Heleno, nº 80, Bairro – Parque Olímpico, para realização da Festa do Padroeiro de São Paulo Apóstolo.",EVENTO,Fechamento de rua
"solicitando a execução de obras, serviços de manutenção, nivelamento e cascalhamento da Estrada Municipal Gunroku Suenaga e Estrada Municipal do Takaoka, Bairro – Cocuera.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a execução de obras, manutenção, roçagem de mato, tapa buraco e pavimentação asfáltica, na Rua Santa Cruz do André, Bairro – Botujuru.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"Solicitando a execução de obras, serviços de manutenção e roçagem de mato da Rua Paulo Augusto Senhorini Jr., Bairro – Cidade Jardim.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a transferência da menor H.H.K.M , inscrição 31899 para a Creche Santana.",ATENDIMENTO,Transferência de Escola - SME
"Reforma dos equipamentos de ginástica - ATI, da Praça Doutor Álvaro de Campos Carneiro, situada na Rua Doutor Francisco Arouche de Toledo, Bairro – Vila Oliveira.",SERVIÇO,Manutenção Academia da Terceira Idade - SMEL
Solicitando que o proprietário do terreno situado na Rua Desembargador Djalma Pinheiro Franco seja notificado para providenciar a limpeza e capinação do local.,VISTORIA,Manutenção em Terreno particular - SMSEG
"solicitando o serviço de limpeza nas laterais da Estrada Servidão (Ramal da Estrada Fujitaro Nagao), tendo como referência o Pesqueiro Trevo, Bairro – Cocuera.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a reparação completa da pista de caminhada da Praça Doutor Álvaro de Campos Carneiro, Bairro – Vila Oliveira.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicitando o nivelamento e cascalhamento por toda a extensão da Estrada Juji Sato, Bairro – Rio Acima.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando o nivelamento e cascalhamento por toda a extensão da Estrada Fazenda Rio Acima, Bairro – Rio Acima.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a poda das árvores por toda a extensão da Estrada Fazenda Rio Acima, Bairro – Rio Acima.",SERVIÇO,Poda de Árvore - SMAPA
"Ampliação da área de atividade física na Praça Doutor Álvaro de Campos Carneiro, situada na Rua Doutor Francisco Arouche de Toledo, Bairro – Vila Oliveira.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"Autorização para interdição da Rua Francisco Rodrigues Mathias, em frente a estação ferroviária, Bairro – Sabaúna, nos dias 25 e 26 de janeiro de 2025",EVENTO,Fechamento de rua
"solicitando o serviço de tapa buraco na Rua Nossa Senhora das Graças, Bairro – Vila Oliveira.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando o serviço de tapa buraco na Rua Nossa Senhora das Graças, Bairro – Vila Oliveira.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando o cascalhamento e nivelamento por toda extensão da Rua Espírito Santo entrando pela Rua Concórdia, Bairro – Sabaúna.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando a implantação de ponto de ônibus na Rua Thuller, número 547 – Jardim Universo.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
"Reparos na pista do Skate Park,junto ao complexo esportivo Hugo Ramos, na Avenida Professor Ismael Alves dos Santos, número 560, Bairro – Vila Mogilar.",SERVIÇO,Manutenção Quadras/Campos - SMEL
"solicitando o cascalhamento, nivelamento e roçagem de mato por toda extensão da Estrada do Cogumelo, Bairro – Sabaúna.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicitando o serviço de tapa buraco por toda a extensão da Estrada Municipal Shohei Inui, Fazenda Cuiabá – Vila Moraes.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a limpeza da via onde está localizada uma mina d’água na Rua Manoel Clemente, próximo ao número 275, Bairro – Vila Pomar.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a limpeza da Travessa Tamoios, altura do número 37, Bairro – Brás Cubas.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando a roçagem de mato na Rua Leonardo da Vinci, próximo à Rua Aeroporto – Jardim Aeroporto III.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitando o recapeamento por toda extensão da Rua Senday , Bairro – Jardim Naútico.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitando a limpeza das bocas de lobo situadas na Rua Hilda Figueiredo Rodrigues Lunardi, número 395, Bairro – Jardim Náutico.",SERVIÇO,Manutenção Drenagem - SMSUZ
"solicitando o recapeamento por toda a extensão da Rua José Rodrigues da Costa, Bairro – Ponte Grande.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
